FIELDS,DESCRIPTION,,,,,,,,,,,
Type,:  Type of transaction made,,,,,,,,,,,
Days for shipping (real)     ,:  Actual shipping days of the purchased product,,,,,,,,,,,
Days for shipment (scheduled),:  Days of scheduled delivery of the purchased product,,,,,,,,,,,
Benefit per order,:  Earnings per order placed,,,,,,,,,,,
Sales per customer,:  Total sales per customer made per customer,,,,,,,,,,,
Delivery Status,":  Delivery status of orders: Advance shipping , Late delivery , Shipping canceled , Shipping on time",,,,,,,,,,,
Late_delivery_risk           ,":  Categorical variable that indicates if sending is late (1), it is not late (0).",,,,,,,,,,,
Shipping date (DateOrders)   ,:  Exact date and time of shipment,,,,,,,,,,,
Shipping Mode,":  The following shipping modes are presented : Standard Class , First Class , Second Class , Same Day",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Category Id,:  Product category code,,,,,,,,,,,
Category Name,:  Description of the product category,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Department Id,:  Department code of store,,,,,,,,,,,
Department name,:  Department name of store,,,,,,,,,,,
Latitude,:  Latitude corresponding to location of store,,,,,,,,,,,
Longitude,:  Longitude corresponding to location of store,,,,,,,,,,,
Market,":  Market to where the order is delivered : Africa , Europe , LATAM , Pacific Asia , USCA",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Order Customer Id,:  Customer order code,,,,,,,,,,,
order date (DateOrders),:  Date on which the order is made,,,,,,,,,,,
Order Id,:  Order code,,,,,,,,,,,
Order Item Cardprod Id,:  Product code generated through the RFID reader,,,,,,,,,,,
Order Item Discount,:  Order item discount value,,,,,,,,,,,
Order Item Discount Rate     ,:  Order item discount percentage,,,,,,,,,,,
Order Item Id,:  Order item code,,,,,,,,,,,
Order Item Product Price     ,:  Price of products without discount,,,,,,,,,,,
Order Item Profit Ratio,:  Order Item Profit Ratio,,,,,,,,,,,
Order Item Quantity,:  Number of products per order,,,,,,,,,,,
Sales,:  Value in sales,,,,,,,,,,,
Order Item Total  ,:  Total amount per order,,,,,,,,,,,
Order Profit Per Order,:  Order Profit Per Order,,,,,,,,,,,
Order Region,":  Region of the world where the order is delivered :  Southeast Asia ,South Asia ,Oceania ,Eastern Asia, West Asia , West of USA , US Center , West Africa, Central Africa ,North Africa ,Western Europe ,Northern , Caribbean , South America ,East Africa ,Southern Europe , East of USA ,Canada ,Southern Africa , Central Asia ,  Europe , Central America, Eastern Europe , South of  USA ",,,,,,,,,,,
Order State,:  State of the region where the order is delivered,,,,,,,,,,,
Order Status,":  Order Status : COMPLETE , PENDING , CLOSED , PENDING_PAYMENT ,CANCELED , PROCESSING ,SUSPECTED_FRAUD ,ON_HOLD ,PAYMENT_REVIEW",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
